Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Weapons/AR_A_2.prefab	AR_A_2	AssaultRifle
Assets/ThirdParty/Low Poly ShotGun Weapon Pack 1/Prefabs/Weapons/ShotGun_D.prefab	ShotGun_D	Shotgun
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Attachments/UnderBarrels/GrenadeLaunchers/GrenadeLauncher_C.prefab	GrenadeLauncher_C	Launcher
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/UnderBarrels/GrenadeLaunchers/GrenadeLauncher_A.prefab	GrenadeLauncher_A	Launcher
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/UnderBarrels/GrenadeLaunchers/GrenadeLauncher_B.prefab	GrenadeLauncher_B	Launcher
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Weapons/AR_T.prefab	AR_T	AssaultRifle
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Weapons/AR_U.prefab	AR_U	AssaultRifle
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Weapons/Pistol_P.prefab	Pistol_P	Sidearm
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Weapons/Recon_P.prefab	Recon_P	Marksman
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Weapons/SMG_P.prefab	SMG_P	SMG
Assets/ThirdParty/Low Poly Weapons VOL.1/Prefabs/M2_50cal.prefab	M2_50cal	LMG
Assets/ThirdParty/Low Poly Weapons VOL.1/Prefabs/M4_8.prefab	M4_8	AssaultRifle
Assets/ThirdParty/Low Poly Weapons VOL.1/Prefabs/M1911.prefab	M1911	Sidearm
Assets/ThirdParty/Low Poly Weapons VOL.1/Prefabs/RPG7.prefab	RPG7	Launcher
Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_AK47.prefab	WPN_AssaultRifle_AK47	AssaultRifle
Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_FAMAS.prefab	WPN_AssaultRifle_FAMAS	AssaultRifle
Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_G36C.prefab	WPN_AssaultRifle_G36C	AssaultRifle
Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_Generic.prefab	WPN_AssaultRifle_Generic	AssaultRifle
Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_M4A1.prefab	WPN_AssaultRifle_M4A1	AssaultRifle
Assets/_Project/Prefabs/Weapons/WPN_AssaultRifle_SCARL.prefab	WPN_AssaultRifle_SCARL	AssaultRifle
Assets/_Project/Prefabs/Weapons/WPN_LMG_Generic.prefab	WPN_LMG_Generic	LMG
Assets/_Project/Prefabs/Weapons/WPN_Marksman_SniperGeneric.prefab	WPN_Marksman_SniperGeneric	Marksman
Assets/_Project/Prefabs/Weapons/WPN_Shotgun_AA12.prefab	WPN_Shotgun_AA12	Shotgun
Assets/_Project/Prefabs/Weapons/WPN_Shotgun_BenelliM4.prefab	WPN_Shotgun_BenelliM4	Shotgun
Assets/_Project/Prefabs/Weapons/WPN_Shotgun_DoubleBarrel.prefab	WPN_Shotgun_DoubleBarrel	Shotgun
Assets/_Project/Prefabs/Weapons/WPN_Shotgun_Mossberg500.prefab	WPN_Shotgun_Mossberg500	Shotgun
Assets/_Project/Prefabs/Weapons/WPN_Shotgun_SPAS12.prefab	WPN_Shotgun_SPAS12	Shotgun
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_BerettaM9.prefab	WPN_Sidearm_BerettaM9	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_DesertEagle.prefab	WPN_Sidearm_DesertEagle	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_FiveSeven.prefab	WPN_Sidearm_FiveSeven	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_Glock19.prefab	WPN_Sidearm_Glock19	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_M1911.prefab	WPN_Sidearm_M1911	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_Makarov.prefab	WPN_Sidearm_Makarov	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_P226.prefab	WPN_Sidearm_P226	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_PistolA.prefab	WPN_Sidearm_PistolA	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_Python357.prefab	WPN_Sidearm_Python357	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_Sidearm_USP45.prefab	WPN_Sidearm_USP45	Sidearm
Assets/_Project/Prefabs/Weapons/WPN_SMG_Generic.prefab	WPN_SMG_Generic	SMG
