Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_Pistol_A.prefab	Rail_Pistol_A	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Rails/Rail_Pistol_B.prefab	Rail_Pistol_B	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_Pistol_A.prefab	Laser_Pistol_A	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lasers/Laser_Pistol_B.prefab	Laser_Pistol_B	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_Pistol_A.prefab	Light_Pistol_A	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Accessories/Tatical Lights/Light_Pistol_B.prefab	Light_Pistol_B	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Brake_A.prefab	Muzzle_Pistol_Brake_A	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Brake_B.prefab	Muzzle_Pistol_Brake_B	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Device.prefab	Muzzle_Pistol_Device	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Flash Hider_A.prefab	Muzzle_Pistol_Flash Hider_A	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Flash Hider_B.prefab	Muzzle_Pistol_Flash Hider_B	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Attachments/Muzzles/Muzzle_Pistol_Suppressor_A.prefab	Muzzle_Pistol_Suppressor_A	AttachmentOrPart
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_A.prefab	Pistol_A	DuplicateModel
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_B.prefab	Pistol_B	DuplicateModel
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_C.prefab	Pistol_C	DuplicateModel
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_D.prefab	Pistol_D	DuplicateModel
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_E.prefab	Pistol_E	DuplicateModel
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_F.prefab	Pistol_F	DuplicateModel
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_G.prefab	Pistol_G	DuplicateModel
Assets/ThirdParty/Low Poly Pistol Weapon Pack 1/Prefabs/Weapons/Pistol_H.prefab	Pistol_H	DuplicateModel
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Attachments/UnderBarrels/GrenadeLaunchers/GrenadeLauncher_C_Sand.prefab	GrenadeLauncher_C_Sand	ColourVariant
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Items/MW_Dogtag_A.prefab	MW_Dogtag_A	DemoOrSceneObject
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Equipments/Distance Measuring Equipment.prefab	Distance Measuring Equipment	DemoOrSceneObject
Assets/ThirdParty/Low Poly Weapon Pack 4_MW_1/Prefabs/Previous/Attachments/Accessories/Equipments/HeartBeat Sensor.prefab	HeartBeat Sensor	DemoOrSceneObject
